id,titulo,fecha_inicio,formato,estado,episodios,duracion,generos,estudios,calificacion,popularidad,favoritos
119978,Gigigoegoe: Sunghyungsoo,2020-09-09,MOVIE,FINISHED,1.0,85.0,Horror|Thriller,Studio Animal,57.0,1372,18
120325,Fushigi Dagashiya: Zenitendou,2020-09-08,TV_SHORT,FINISHED,148.0,9.0,Mystery,Toei Animation|Kanaban Graphics|Studio Gallop,51.0,994,16
136044,Kanzen Houki Sengen,2020-09-07,MUSIC,FINISHED,1.0,4.0,,,59.0,256,4
121797,Ookami-san wa Taberaretai,2020-09-06,ONA,FINISHED,3.0,6.0,Hentai|Romance,Peak Hunt,56.0,6124,90
130939,Kesshouban: Eigakan e Iku,2020-09-05,SPECIAL,FINISHED,1.0,3.0,Comedy,david production,51.0,989,1
127213,Tensei mae no Ryouma to Tabuchi,2020-09-05,ONA,FINISHED,20.0,2.0,Comedy,AQUA ARIS,47.0,272,1
120404,Jingzhong Baoguo,2020-09-03,ONA,FINISHED,1.0,18.0,Action,Hong Ying Animation,,62,0
124960,OTMGirls no YOKIYOKI Channel,2020-09-02,ONA,FINISHED,13.0,2.0,Comedy|Music|Slice of Life,Fanworks,54.0,671,3
123994,Go Just Go!,2020-09-02,MUSIC,FINISHED,1.0,3.0,Slice of Life,CloverWorks,63.0,681,4
123612,Sakura Kakumei: Hanasaku Otome-tachi,2020-09-02,ONA,FINISHED,1.0,24.0,Action|Mecha,CloverWorks,54.0,936,5
114195,Ore wo Suki nano wa Omae dake ka yo: Oretachi no Game Set,2020-09-02,OVA,FINISHED,1.0,70.0,Comedy|Drama|Romance|Slice of Life,CONNECT,74.0,43744,739
138261,because,2020-09-01,MUSIC,FINISHED,1.0,4.0,,,47.0,132,0
124963,Aggressive Girl,2020-09-01,MUSIC,FINISHED,1.0,3.0,,Fanworks,63.0,701,6
126940,Wanderer,2020-08-29,MUSIC,FINISHED,1.0,3.0,Psychological,,58.0,319,4
130473,LIP×LIP FILM×LIVE Mini Anime,2020-08-28,ONA,FINISHED,2.0,3.0,Comedy,CLAP,47.0,285,0
123436,Kako ni Torawareteiru,2020-08-28,MUSIC,FINISHED,1.0,4.0,Psychological,Hurray!,71.0,662,20
119491,Oujo & Onna Kishi W Dogehin Roshutsu: Chijoku no Misemono Dorei,2020-08-28,OVA,FINISHED,2.0,19.0,Fantasy|Hentai,Anime Antenna Iinkai,54.0,2214,70
119484,Shikiyoku INFINITE,2020-08-28,OVA,FINISHED,2.0,21.0,Hentai,Studio 9 Maiami,63.0,3880,169
119254,Kanojo ga Yatsu ni Dakareta hi,2020-08-28,OVA,FINISHED,4.0,25.0,Hentai,Nur,57.0,2039,96
118860,Succubus Stayed Life The Animation,2020-08-28,OVA,FINISHED,2.0,26.0,Hentai,Seven,68.0,4418,172
114943,Battle Spirits: Kakumei no Gallet,2020-08-28,ONA,FINISHED,5.0,24.0,Adventure|Sci-Fi,Bandai Namco Pictures,55.0,649,7
188822,Mini Teukgongdae: Super Gongnyong Power Part 2,2020-08-27,TV_SHORT,FINISHED,26.0,11.0,Action|Mecha,,,29,0
110857,Aggressive Retsuko Season 3,2020-08-27,ONA,FINISHED,10.0,15.0,Comedy|Music|Slice of Life,Fanworks,77.0,28566,456
154541,Chuukou Ikkan!! Kimetsu Gakuen Monogatari: Kimetsu no Utage Tokubetsu-hen,2020-08-26,SPECIAL,FINISHED,3.0,2.0,Comedy,ufotable,67.0,4596,62
150491,Ni Tian Jian Shen,2020-08-26,ONA,FINISHED,26.0,12.0,Action|Adventure|Fantasy,,,232,7
117532,Kabukichou Sherlock OVA,2020-08-26,OVA,FINISHED,6.0,5.0,Comedy|Mystery,Production I.G,63.0,2470,22
120419,Renlei Bowuguan,2020-08-25,ONA,FINISHED,36.0,1.0,Comedy,Haoliners Animation,,139,2
184576,Tell Me Answer,2020-08-23,MUSIC,FINISHED,1.0,3.0,Slice of Life,,,94,2
148284,Inside Night Looper,2020-08-23,MUSIC,FINISHED,1.0,3.0,,,,106,0
140362,Mister Jewel Box,2020-08-22,MUSIC,FINISHED,1.0,3.0,Drama,,63.0,325,4
129350,Douluo Dalu: Xingdou Xianji,2020-08-22,ONA,FINISHED,13.0,20.0,Action|Adventure|Fantasy|Romance|Supernatural,Sparkly Key Animation,80.0,1993,69
111734,Given Movie,2020-08-22,MOVIE,FINISHED,1.0,60.0,Drama|Music|Romance,Lerche,81.0,95169,4704
