anime_id,titulo,fecha_inicio,episodios,duracion,calificacion,popularidad,favoritos,formato_id,estado_id
213703,Jiaonang Jihua: Qiji,2026-07-08,8.0,,,71,1,3,4
213666,Perfect Addiction,2026-07-08,,5.0,53.0,2481,24,3,4
211232,Majo no Tani no Yoru,2026-07-08,1.0,14.0,,772,4,1,2
207809,Sora wa Akai Kawa no Hotori,2026-07-08,,23.0,60.0,9960,94,6,4
198946,Clevatess II: Majuu no Ou to Itsuwari no Yuusha Denshou,2026-07-08,13.0,24.0,75.0,41026,557,6,4
198709,Tefuda ga Oome no Victoria,2026-07-08,9.0,24.0,71.0,13965,156,6,4
196356,Ibitte Konai Gibo to Gishi,2026-07-08,,24.0,64.0,11198,102,6,4
194829,"Katainaka no Ossan, Kensei ni Naru II",2026-07-08,12.0,23.0,71.0,40510,527,6,4
159309,Otomege Sekai wa Mob ni Kibishii Sekai desu 2,2026-07-08,12.0,24.0,68.0,49420,765,6,4
135865,Youjo Senki II,2026-07-08,12.0,24.0,81.0,88679,1709,6,4
213665,Migawari Reijou wo Sukutta no wa Reikoku Mujihi na Koori no Ouji no Ai deshita,2026-07-07,,,49.0,2582,27,7,4
209800,Yoroi Shinden Samurai Troopers Part 2,2026-07-07,12.0,24.0,52.0,1562,21,6,4
199111,Grand Blue Season 3,2026-07-07,12.0,24.0,82.0,38227,621,6,4
187260,Kimi ga Shinu made Koi wo Shitai,2026-07-07,13.0,24.0,74.0,51472,892,6,4
177699,Koukaku Kidoutai: THE GHOST IN THE SHELL,2026-07-07,10.0,24.0,76.0,49339,849,6,4
128757,Tai-Ari deshita.: Ojou-sama wa Kakutou Game nante Shinai,2026-07-07,12.0,24.0,74.0,26015,296,6,4
213506,Hokuto no Ken: Kenou-gun Zako-tachi no Banka Part 2,2026-07-06,,4.0,,268,3,7,4
209504,Suterare Seijo no Isekai Gohantabi: Kakure Skill de Camping Car wo Shoukan Shimashita,2026-07-06,12.0,24.0,61.0,12899,132,6,4
208685,Onaji Zemi no Someya-san ga Sexy Joyuu Datta Hanashi.,2026-07-06,8.0,7.0,56.0,1321,32,3,4
202269,"Toumei na Yoru ni Kakeru Kimi to, Me ni Mienai Koi wo Shita.",2026-07-06,12.0,24.0,79.0,39338,739,6,4
199408,Buchigire Reijou wa Houfuku wo Chikaimashita.: Madousho no Chikara de Sokoku wo Tataki Tsubushimasu,2026-07-06,12.0,24.0,68.0,20312,192,6,4
195833,Honoo no Toukyuujyo Dodge Danko,2026-07-06,12.0,24.0,57.0,1875,20,6,4
177637,Sayonara Lara,2026-07-06,12.0,24.0,76.0,29070,455,6,4
169583,"Tenkousaki no Seiso Karen na Bishoujo ga, Mukashi Danshi to Omotte Issho ni Asonda Osananajimi datta Ken",2026-07-06,12.0,24.0,70.0,35955,437,6,4
169582,Saikyou Degarashi Ouji no Anyaku Teii Arasoi: Munou wo Enjiru SS Rank Ouji wa Koui Keishou-sen wo Kage kara Shihai suru,2026-07-06,12.0,24.0,59.0,22661,235,6,4
169080,Azur Lane: Bisoku Zenshin! Ni!!,2026-07-06,12.0,9.0,62.0,3798,41,7,4
213097,TOMICA & TOM Season 2,2026-07-05,,,,57,1,7,4
210031,Seihantai na Kimi to Boku 2nd Season,2026-07-05,13.0,24.0,82.0,53941,1024,6,4
