estudio,cantidad_anime,calificaciones_disponibles,calificacion_media,calificacion_mediana,calificacion_desviacion,calificacion_minima,calificacion_maxima,episodios_promedio,duracion_promedio,popularidad_promedio,popularidad_total,favoritos_promedio,favoritos_total
Ashi Productions,7,6,66.67,69.5,9.77,49.0,77.0,9.0,23.83,21081.0,147567,390.43,2733
YHKT Entertainment,7,6,69.67,72.5,7.92,54.0,76.0,5.43,38.5,849.86,5949,25.86,181
Staple Entertainment,7,7,61.57,63.0,4.69,53.0,67.0,13.57,21.43,48205.57,337439,883.14,6182
Asread,7,7,67.29,68.0,3.4,62.0,71.0,7.71,23.86,49878.14,349147,961.29,6729
Andraft,7,2,58.0,58.0,11.31,50.0,66.0,1.14,2.14,184.57,1292,1.57,11
East Fish Studio,7,6,65.17,64.0,6.88,56.0,74.0,10.86,38.0,25151.43,176060,451.43,3160
Magic Bus,7,7,61.14,63.0,7.9,48.0,71.0,10.43,17.0,19870.0,139090,369.57,2587
Paper Plane Animation Studio,7,7,73.86,75.0,7.03,62.0,85.0,15.57,12.0,19507.29,136551,915.57,6409
Rocen,7,4,60.75,60.0,4.11,57.0,66.0,16.0,22.25,328.57,2300,13.43,94
Dongwoo Animation,7,6,62.17,63.5,6.49,54.0,70.0,44.0,24.0,1519.43,10636,33.86,237
ODDJOB,7,1,57.0,57.0,,57.0,57.0,14.57,14.14,192.0,1344,1.29,9
Shuka,7,7,72.71,77.0,14.0,46.0,87.0,7.43,21.71,17674.57,123722,650.29,4552
NUT,7,7,71.14,73.0,9.97,57.0,83.0,7.57,36.57,40829.29,285805,689.0,4823
Studio Nanahoshi,7,4,61.75,61.5,6.55,54.0,70.0,6.2,5.57,579.57,4057,6.43,45
Studio Signpost,7,7,77.71,84.0,10.16,59.0,86.0,16.43,24.43,18836.0,131852,509.29,3565
Pb Animation,7,6,71.33,73.5,14.11,50.0,86.0,11.43,17.29,44410.57,310874,1643.29,11503
Space Neko Company,6,5,62.4,64.0,9.53,48.0,74.0,9.5,10.5,6851.83,41111,78.17,469
CHOSEN,6,4,53.5,53.0,4.43,49.0,59.0,17.33,17.8,337.5,2025,8.0,48
CLAP,6,6,69.33,69.5,12.24,47.0,81.0,1.17,56.67,24394.5,146367,746.0,4476
Build Dream,6,3,71.0,67.0,9.64,64.0,82.0,51.67,35.4,1383.0,8298,82.83,497
Studio Khara,6,6,71.17,70.5,9.99,56.0,85.0,6.67,36.33,28295.83,169775,1357.33,8144
Studio Kafka,6,6,76.67,78.0,6.02,66.0,84.0,8.0,33.67,40593.67,243562,863.33,5180
TIA,6,5,51.2,53.0,12.56,32.0,67.0,8.5,13.67,1664.33,9986,8.67,52
Suzuki Mirano petit,6,6,54.67,54.5,5.89,47.0,63.0,4.4,17.17,1809.67,10858,65.83,395
The Answer Studio,6,4,66.75,67.0,7.8,57.0,76.0,9.33,40.6,25706.0,154236,432.17,2593
Thundray,6,6,64.5,66.0,10.73,51.0,80.0,9.67,19.0,4139.0,24834,105.5,633
